b a b' p
43 0 44 0.0632566
43 0 45 0.0888284
43 0 46 0.0915202
43 0 47 0.4244
43 0 48 0.0226918
43 0 49 0.309303
43 1 50 0.31
43 1 51 0.02
43 1 52 0.67
53 0 54 0.0577711
53 0 55 0.0381044
53 0 56 0.0835838
53 0 57 0.122917
53 0 58 0.0835838
53 0 59 0.0224583
53 0 60 0.340582
53 0 61 0.169874
53 1 62 0.02
53 1 63 0.67
53 1 64 0.31
65 0 66 0.557458
65 1 67 0.31
65 1 68 0.02
65 1 69 0.67
39 0 40 0.0536367
39 0 41 0.0753196
39 0 42 0.077602
39 0 52 0.407002
39 0 64 0.0222824
39 0 69 0.364157
70 0 71 0.0536367
70 0 72 0.0753196
70 0 73 0.077602
70 0 74 0.0222824
70 1 75 0.31
70 1 76 0.02
70 1 77 0.67
78 0 79 0.0536367
78 0 80 0.0353774
78 0 81 0.077602
78 0 82 0.114121
78 0 83 0.077602
78 0 84 0.179903
78 1 85 0.02
78 1 86 0.67
78 1 87 0.31
39 1 77 0.31
39 1 87 0.02
39 1 88 0.67
95 0 96 0.0519574
95 0 97 0.0834686
95 0 98 0.0751724
95 0 99 0.110548
95 0 100 0.227241
95 0 101 0.0177383
95 0 102 0.2239
95 0 103 0.137013
95 1 104 0.02
95 1 105 0.67
95 1 106 0.31
108 0 109 0.0777579
108 0 110 0.207256
108 0 111 0.445944
108 0 112 0.0365745
108 0 113 0.204208
108 1 114 0.1729
108 1 115 0.534417
108 1 116 0.0663685
108 1 117 0.0828726
108 1 118 0.143442
89 0 90 0.0476913
89 0 91 0.031456
89 0 92 0.0690002
89 0 93 0.101471
89 0 94 0.0690002
89 0 106 0.0220294
89 0 107 0.398058
89 0 118 0.194323
119 0 120 0.0476913
119 0 121 0.085647
119 0 122 0.0690002
119 0 123 0.101471
119 0 124 0.2365
119 0 125 0.017103
119 0 126 0.233022
119 0 127 0.142595
119 1 128 0.02
119 1 129 0.67
119 1 130 0.31
131 0 132 0.101471
131 0 133 0.398058
131 0 134 0.194323
131 1 135 0.31
136 0 137 0.0838187
136 0 138 0.180667
136 0 139 0.458652
136 0 140 0.0318823
136 0 141 0.17801
136 1 142 0.108382
136 1 143 0.334999
136 1 144 0.15728
136 1 145 0.0594117
136 1 146 0.339927
89 1 130 0.02
89 1 135 0.67
89 1 146 0.31
35 0 36 0.0434138
35 0 37 0.060964
35 0 38 0.0628114
35 0 88 0.388514
35 0 146 0.0218474
35 0 147 0.422449
152 0 153 0.0220294
152 0 154 0.398058
152 0 155 0.194323
152 1 156 0.02
152 1 157 0.67
152 1 158 0.31
148 0 149 0.0434138
148 0 150 0.060964
148 0 151 0.0628114
148 0 158 0.0218474
148 0 159 0.422449
148 1 160 0.31
148 1 161 0.02
148 1 162 0.67
163 0 164 0.0434138
163 0 165 0.0286346
163 0 166 0.0628114
163 0 167 0.0923697
163 0 168 0.0628114
163 0 169 0.422449
163 0 170 0.204699
163 1 171 0.02
163 1 172 0.67
163 1 173 0.31
174 0 175 0.422449
35 1 162 0.31
35 1 173 0.02
35 1 175 0.67
184 0 185 0.0212411
184 0 186 0.503691
184 0 187 0.239257
184 1 188 0.02
184 1 189 0.67
184 1 190 0.31
193 0 194 0.0483993
193 0 195 0.0329115
193 0 196 0.020968
