(s,b,c) : belief state id
7,[0.5 0.5],0 : 0
6,[0 1],1 : 1
7,[0.310734 0.689266],1 : 2
6,[0 1],2 : 3
7,[0.168909 0.831091],2 : 4
8,[0.692695 0.307305],2 : 5
7,[0 1],3 : 6
8,[0 1],3 : 7
9,[0 1],3 : 8
17,[0.652587 0.347413],3 : 9
6,[0 1],4 : 10
7,[0 1],4 : 11
8,[0.869543 0.130457],4 : 12
16,[0 1],4 : 13
17,[0 1],4 : 14
18,[0.903773 0.0962272],4 : 15
26,[0 1],4 : 16
27,[0 1],4 : 17
28,[0.696118 0.303882],4 : 18
17,[0 1],5 : 19
18,[0 1],5 : 20
19,[0.890453 0.109547],5 : 21
27,[0 1],5 : 22
28,[0 1],5 : 23
29,[0.919703 0.0802971],5 : 24
37,[0 1],5 : 25
38,[0 1],5 : 26
39,[0.736398 0.263602],5 : 27
28,[0 1],6 : 28
29,[0 1],6 : 29
38,[0 1],6 : 30
39,[0.643392 0.356608],6 : 31
28,[0 1],7 : 32
29,[0 1],7 : 33
38,[0 1],7 : 34
39,[0.538151 0.461849],7 : 35
28,[0 1],8 : 36
29,[0 1],8 : 37
38,[0 1],8 : 38
39,[0.429397 0.570603],8 : 39
28,[0 1],9 : 40
29,[0 1],9 : 41
38,[0 1],9 : 42
39,[0.327057 0.672943],9 : 43
28,[0 1],10 : 44
29,[0 1],10 : 45
38,[0 1],10 : 46
39,[0.238897 0.761103],10 : 47
48,[0.288261 0.711739],10 : 48
49,[0.708459 0.291541],10 : 49
39,[0.327057 0.672943],14 : 50
48,[0.327057 0.672943],14 : 51
49,[0.327057 0.672943],14 : 52
48,[0.385414 0.614586],9 : 53
37,[0 1],10 : 54
39,[0 1],10 : 55
47,[0 1],10 : 56
48,[0 1],10 : 57
49,[0 1],10 : 58
57,[0.343225 0.656775],10 : 59
58,[0.758194 0.241806],10 : 60
59,[0.703333 0.296667],10 : 61
57,[0.385414 0.614586],14 : 62
58,[0.385414 0.614586],14 : 63
59,[0.385414 0.614586],14 : 64
49,[0.790033 0.209967],9 : 65
59,[0.949529 0.0504711],10 : 66
49,[0.790033 0.209967],14 : 67
58,[0.790033 0.209967],14 : 68
59,[0.790033 0.209967],14 : 69
39,[0.429397 0.570603],13 : 70
28,[0 1],14 : 71
29,[0 1],14 : 72
38,[0 1],14 : 73
48,[0.385414 0.614586],14 : 74
39,[0.429397 0.570603],18 : 75
48,[0.429397 0.570603],18 : 76
49,[0.429397 0.570603],18 : 77
48,[0.429397 0.570603],13 : 78
37,[0 1],14 : 79
39,[0 1],14 : 80
47,[0 1],14 : 81
48,[0 1],14 : 82
49,[0 1],14 : 83
59,[0.739918 0.260082],14 : 84
57,[0.429397 0.570603],18 : 85
58,[0.429397 0.570603],18 : 86
59,[0.429397 0.570603],18 : 87
49,[0.429397 0.570603],13 : 88
48,[0.492646 0.507354],8 : 89
37,[0 1],9 : 90
39,[0 1],9 : 91
47,[0 1],9 : 92
48,[0 1],9 : 93
49,[0 1],9 : 94
57,[0.447262 0.552738],9 : 95
46,[0 1],10 : 96
48,[0.589429 0.410571],10 : 97
56,[0 1],10 : 98
57,[0 1],10 : 99
58,[0.669196 0.330804],10 : 100
66,[0.252144 0.747856],10 : 101
67,[0.669196 0.330804],10 : 102
68,[0.669196 0.330804],10 : 103
66,[0.447262 0.552738],14 : 104
67,[0.447262 0.552738],14 : 105
68,[0.447262 0.552738],14 : 106
58,[0.829207 0.170793],9 : 107
59,[0.785908 0.214092],9 : 108
